user_id_teacher,user_id_student,subject,rating_avg_teacher
1,5,Mathematics,1.7
1,35,Mathematics,1.7
1,56,Mathematics,1.7
1,122,Mathematics,1.7
1,175,Mathematics,1.7
1,302,Mathematics,1.7
1,305,Mathematics,1.7
1,309,Mathematics,1.7
1,369,Mathematics,1.7
1,394,Mathematics,1.7
1,439,Mathematics,1.7
1,466,Mathematics,1.7
1,473,Mathematics,1.7
1,526,Mathematics,1.7
1,668,Mathematics,1.7
1,715,Mathematics,1.7
1,722,Mathematics,1.7
1,729,Mathematics,1.7
1,741,Mathematics,1.7
1,792,Mathematics,1.7
1,797,Mathematics,1.7
1,824,Mathematics,1.7
1,876,Mathematics,1.7
1,917,Mathematics,1.7
1,923,Mathematics,1.7
1,938,Mathematics,1.7
1,976,Mathematics,1.7
2,1,English language,3.4
2,17,English language,3.4
2,93,English language,3.4
2,232,English language,3.4
2,259,English language,3.4
2,346,English language,3.4
2,347,English language,3.4
2,417,English language,3.4
2,672,English language,3.4
2,735,English language,3.4
2,757,English language,3.4
2,773,English language,3.4
2,815,English language,3.4
2,837,English language,3.4
2,920,English language,3.4
3,5,Mathematics,3.6
3,35,Mathematics,3.6
3,56,Mathematics,3.6
3,122,Mathematics,3.6
3,175,Mathematics,3.6
3,302,Mathematics,3.6
3,305,Mathematics,3.6
3,309,Mathematics,3.6
3,369,Mathematics,3.6
3,394,Mathematics,3.6
3,439,Mathematics,3.6
3,466,Mathematics,3.6
3,473,Mathematics,3.6
3,526,Mathematics,3.6
3,668,Mathematics,3.6
3,715,Mathematics,3.6
3,722,Mathematics,3.6
3,729,Mathematics,3.6
3,741,Mathematics,3.6
3,792,Mathematics,3.6
3,797,Mathematics,3.6
3,824,Mathematics,3.6
3,876,Mathematics,3.6
3,917,Mathematics,3.6
3,923,Mathematics,3.6
3,938,Mathematics,3.6
3,976,Mathematics,3.6
5,24,History,4.1
5,87,History,4.1
5,504,History,4.1
5,653,History,4.1
5,805,History,4.1
5,863,History,4.1
6,1,English language,2.6
6,17,English language,2.6
6,93,English language,2.6
6,232,English language,2.6
6,259,English language,2.6
6,346,English language,2.6
6,347,English language,2.6
6,417,English language,2.6
6,672,English language,2.6
6,735,English language,2.6
6,757,English language,2.6
6,773,English language,2.6
6,815,English language,2.6
6,837,English language,2.6
6,920,English language,2.6
7,70,Romanian language,3.8
7,103,Romanian language,3.8
7,221,Romanian language,3.8
7,224,Romanian language,3.8
7,229,Romanian language,3.8
7,266,Romanian language,3.8
7,324,Romanian language,3.8
7,361,Romanian language,3.8
7,377,Romanian language,3.8
7,574,Romanian language,3.8
7,628,Romanian language,3.8
7,853,Romanian language,3.8
7,949,Romanian language,3.8
8,176,French language,3.7
8,209,French language,3.7
8,219,French language,3.7
8,338,French language,3.7
8,442,French language,3.7
8,489,French language,3.7
8,538,French language,3.7
8,603,French language,3.7
8,618,French language,3.7
8,700,French language,3.7
8,706,French language,3.7
8,785,French language,3.7
8,882,French language,3.7
8,979,French language,3.7
9,88,Computer science,2.6
9,158,Computer science,2.6
9,212,Computer science,2.6
9,264,Computer science,2.6
9,537,Computer science,2.6
9,546,Computer science,2.6
9,575,Computer science,2.6
9,737,Computer science,2.6
9,839,Computer science,2.6
9,870,Computer science,2.6
9,950,Computer science,2.6
10,5,Mathematics,2.0
10,35,Mathematics,2.0
10,56,Mathematics,2.0
10,122,Mathematics,2.0
10,175,Mathematics,2.0
10,302,Mathematics,2.0
10,305,Mathematics,2.0
10,309,Mathematics,2.0
10,369,Mathematics,2.0
10,394,Mathematics,2.0
10,439,Mathematics,2.0
10,466,Mathematics,2.0
10,473,Mathematics,2.0
10,526,Mathematics,2.0
10,668,Mathematics,2.0
10,715,Mathematics,2.0
10,722,Mathematics,2.0
10,729,Mathematics,2.0
10,741,Mathematics,2.0
10,792,Mathematics,2.0
10,797,Mathematics,2.0
10,824,Mathematics,2.0
10,876,Mathematics,2.0
10,917,Mathematics,2.0
10,923,Mathematics,2.0
10,938,Mathematics,2.0
10,976,Mathematics,2.0
15,1,English language,3.9
15,17,English language,3.9
15,93,English language,3.9
15,232,English language,3.9
15,259,English language,3.9
15,346,English language,3.9
15,347,English language,3.9
15,417,English language,3.9
15,672,English language,3.9
15,735,English language,3.9
15,757,English language,3.9
15,773,English language,3.9
15,815,English language,3.9
15,837,English language,3.9
15,920,English language,3.9
16,176,French language,4.5
16,209,French language,4.5
16,219,French language,4.5
16,338,French language,4.5
16,442,French language,4.5
16,489,French language,4.5
16,538,French language,4.5
16,603,French language,4.5
16,618,French language,4.5
16,700,French language,4.5
16,706,French language,4.5
16,785,French language,4.5
16,882,French language,4.5
16,979,French language,4.5
17,5,Mathematics,4.6
17,35,Mathematics,4.6
17,56,Mathematics,4.6
17,122,Mathematics,4.6
17,175,Mathematics,4.6
17,302,Mathematics,4.6
17,305,Mathematics,4.6
17,309,Mathematics,4.6
17,369,Mathematics,4.6
17,394,Mathematics,4.6
17,439,Mathematics,4.6
17,466,Mathematics,4.6
17,473,Mathematics,4.6
17,526,Mathematics,4.6
17,668,Mathematics,4.6
17,715,Mathematics,4.6
17,722,Mathematics,4.6
17,729,Mathematics,4.6
17,741,Mathematics,4.6
17,792,Mathematics,4.6
17,797,Mathematics,4.6
17,824,Mathematics,4.6
17,876,Mathematics,4.6
17,917,Mathematics,4.6
17,923,Mathematics,4.6
17,938,Mathematics,4.6
17,976,Mathematics,4.6
18,24,History,1.8
18,87,History,1.8
18,504,History,1.8
18,653,History,1.8
18,805,History,1.8
18,863,History,1.8
20,136,Biology,3.7
20,156,Biology,3.7
20,384,Biology,3.7
20,395,Biology,3.7
20,410,Biology,3.7
20,640,Biology,3.7
20,766,Biology,3.7
20,926,Biology,3.7
21,24,History,3.0
21,87,History,3.0
21,504,History,3.0
21,653,History,3.0
21,805,History,3.0
21,863,History,3.0
22,1,English language,4.7
22,17,English language,4.7
22,93,English language,4.7
22,232,English language,4.7
22,259,English language,4.7
22,346,English language,4.7
22,347,English language,4.7
22,417,English language,4.7
22,672,English language,4.7
22,735,English language,4.7
22,757,English language,4.7
22,773,English language,4.7
22,815,English language,4.7
22,837,English language,4.7
22,920,English language,4.7
23,5,Mathematics,4.6
23,35,Mathematics,4.6
23,56,Mathematics,4.6
23,122,Mathematics,4.6
23,175,Mathematics,4.6
23,302,Mathematics,4.6
23,305,Mathematics,4.6
23,309,Mathematics,4.6
23,369,Mathematics,4.6
23,394,Mathematics,4.6
23,439,Mathematics,4.6
23,466,Mathematics,4.6
23,473,Mathematics,4.6
23,526,Mathematics,4.6
23,668,Mathematics,4.6
23,715,Mathematics,4.6
23,722,Mathematics,4.6
23,729,Mathematics,4.6
23,741,Mathematics,4.6
23,792,Mathematics,4.6
23,797,Mathematics,4.6
23,824,Mathematics,4.6
23,876,Mathematics,4.6
23,917,Mathematics,4.6
23,923,Mathematics,4.6
23,938,Mathematics,4.6
23,976,Mathematics,4.6
24,1,English language,3.0
24,17,English language,3.0
24,93,English language,3.0
24,232,English language,3.0
24,259,English language,3.0
24,346,English language,3.0
24,347,English language,3.0
24,417,English language,3.0
24,672,English language,3.0
24,735,English language,3.0
24,757,English language,3.0
24,773,English language,3.0
24,815,English language,3.0
24,837,English language,3.0
24,920,English language,3.0
26,5,Mathematics,3.6
26,35,Mathematics,3.6
26,56,Mathematics,3.6
26,122,Mathematics,3.6
26,175,Mathematics,3.6
26,302,Mathematics,3.6
26,305,Mathematics,3.6
26,309,Mathematics,3.6
26,369,Mathematics,3.6
26,394,Mathematics,3.6
26,439,Mathematics,3.6
26,466,Mathematics,3.6
26,473,Mathematics,3.6
26,526,Mathematics,3.6
26,668,Mathematics,3.6
26,715,Mathematics,3.6
26,722,Mathematics,3.6
26,729,Mathematics,3.6
26,741,Mathematics,3.6
26,792,Mathematics,3.6
26,797,Mathematics,3.6
26,824,Mathematics,3.6
26,876,Mathematics,3.6
26,917,Mathematics,3.6
26,923,Mathematics,3.6
26,938,Mathematics,3.6
26,976,Mathematics,3.6
27,176,French language,2.5
27,209,French language,2.5
27,219,French language,2.5
27,338,French language,2.5
27,442,French language,2.5
27,489,French language,2.5
27,538,French language,2.5
27,603,French language,2.5
27,618,French language,2.5
27,700,French language,2.5
27,706,French language,2.5
27,785,French language,2.5
27,882,French language,2.5
27,979,French language,2.5
28,176,French language,3.9
28,209,French language,3.9
28,219,French language,3.9
28,338,French language,3.9
28,442,French language,3.9
28,489,French language,3.9
28,538,French language,3.9
28,603,French language,3.9
28,618,French language,3.9
28,700,French language,3.9
28,706,French language,3.9
28,785,French language,3.9
28,882,French language,3.9
